,word,count,cum_freq,cum_perc,percentile,length,volume
106,good,29627,15199249,48.9850505064,50,4,>10K
107,then,29485,15228734,49.0800765313,50,4,>10K
108,through,29303,15258037,49.1745159957,50,7,>10K
109,home,29248,15287285,49.2687782028,50,4,>10K
110,while,28690,15315975,49.3612420541,50,5,>10K
111,off,28539,15344514,49.4532192535,50,3,>10K
112,day,28355,15372869,49.5446034467,50,3,>10K
113,may,28119,15400988,49.635227045,50,3,>10K
114,way,27878,15428866,49.725073934,50,3,>10K
115,season,27227,15456093,49.8128227412,50,6,>10K
116,me,27222,15483315,49.9005554341,50,2,>10K
117,police,26912,15510227,49.9872890405,50,6,>10K
118,much,26668,15536895,50.073236269,60,4,>10K
119,work,26397,15563292,50.1583101024,60,4,>10K
120,still,26243,15589535,50.2428876155,60,5,>10K
121,down,26238,15615773,50.3274490142,60,4,>10K
122,any,26020,15641793,50.4113078295,60,3,>10K
123,did,25335,15667128,50.4929589857,60,3,>10K
124,go,25056,15692184,50.573710964,60,2,>10K
125,p,25028,15717212,50.6543727022,60,1,>10K
126,u,24859,15742071,50.7344897771,60,1,>10K
127,think,24550,15766621,50.8136109883,60,5,>10K
128,take,24269,15790890,50.8918265758,60,4,>10K
129,well,24142,15815032,50.9696328602,60,4,>10K
130,high,23958,15838990,51.0468461383,60,4,>10K
131,since,23866,15862856,51.1237629133,60,5,>10K
132,say,23364,15886220,51.1990618126,60,3,>10K
133,know,23286,15909506,51.2741093288,60,4,>10K
134,during,23277,15932783,51.3491278393,60,6,>10K
135,against,23216,15955999,51.4239497554,60,7,>10K
136,week,22810,15978809,51.4974631903,60,4,>10K
137,right,22767,16001576,51.5708380422,60,5,>10K
138,being,22674,16024250,51.6439131682,60,5,>10K
139,four,22551,16046801,51.7165918824,60,4,>10K
140,public,22382,16069183,51.7887259332,60,6,>10K
141,another,21968,16091151,51.8595257201,60,7,>10K
142,company,21960,16113111,51.930299724,60,7,>10K
143,see,21940,16135051,52.0010092708,60,3,>10K
144,want,21769,16156820,52.0711677085,60,4,>10K
145,such,21572,16178392,52.1406912429,60,4,>10K
146,st,21527,16199919,52.2100697485,60,2,>10K
147,should,21000,16220919,52.2777498069,60,6,>10K
148,got,20872,16241791,52.3450173393,60,3,>10K
149,next,20804,16262595,52.4120657172,60,4,>10K
150,second,20724,16283319,52.4788562663,60,6,>10K
151,very,20697,16304016,52.5455597982,60,4,>10K
152,here,20435,16324451,52.6114189408,60,4,>10K
153,center,20238,16344689,52.67664318,60,6,>10K
154,long,20184,16364873,52.7416933847,60,4,>10K
155,president,20168,16385041,52.8066920237,60,9,>10K
156,big,20059,16405100,52.871339371,60,3,>10K
157,best,20027,16425127,52.9358835867,60,4,>10K
158,these,20009,16445136,53.0003697909,60,5,>10K
159,play,20009,16465145,53.0648559952,60,4,>10K
160,both,19989,16485134,53.1292777423,60,4,>10K
161,t,19943,16505077,53.1935512378,60,1,>10K
162,us,19804,16524881,53.2573767557,60,2,>10K
163,including,19753,16544634,53.3210379079,60,9,>10K
164,didn,19742,16564376,53.3846636085,60,4,>10K
165,family,19654,16584030,53.4480056975,60,6,>10K
166,part,19417,16603447,53.5105839687,60,4,>10K
167,house,19158,16622605,53.5723275191,60,5,>10K
168,around,19140,16641745,53.6340130581,60,6,>10K
169,really,18987,16660732,53.6952054995,60,6,>10K
170,too,18767,16679499,53.7556889118,60,3,>10K
171,told,18746,16698245,53.8161046439,60,4,>10K
172,lot,18316,16716561,53.8751345463,60,3,>10K
173,little,18251,16734812,53.9339549629,60,6,>10K
174,each,18158,16752970,53.9924756534,60,4,>10K
175,head,18019,16770989,54.0505483664,60,4,>10K
176,money,17876,16788865,54.1081602104,60,5,>10K
177,help,17817,16806682,54.1655819057,60,4,>10K
178,according,17775,16824457,54.2228682409,60,9,>10K
179,every,17605,16842062,54.2796066899,60,5,>10K
180,five,17415,16859477,54.3357327955,60,4,>10K
181,come,17216,16876693,54.391217552,60,4,>10K
182,left,17086,16893779,54.4462833367,60,4,>10K
183,need,17060,16910839,54.501265327,60,4,>10K
184,night,16979,16927818,54.5559862657,60,5,>10K
185,same,16979,16944797,54.6107072044,60,4,>10K
186,today,16949,16961746,54.6653314573,60,5,>10K
187,former,16875,16978621,54.7197172185,60,6,>10K
188,world,16872,16995493,54.7740933112,60,5,>10K
189,under,16855,17012348,54.8284146153,60,5,>10K
190,never,16814,17029162,54.8826037821,60,5,>10K
191,show,16808,17045970,54.9367736117,60,4,>10K
192,great,16672,17062642,54.9905051324,60,5,>10K
193,place,16538,17079180,55.0438047898,60,5,>10K
194,between,16537,17095717,55.0971012244,60,7,>10K
195,court,16486,17112203,55.1502332932,60,5,>10K
196,group,16321,17128524,55.20283359,60,5,>10K
197,end,16191,17144715,55.2550149151,60,3,>10K
198,won,16179,17160894,55.3071575658,60,3,>10K
199,officials,16118,17177012,55.3591036221,60,9,>10K
200,business,15981,17192993,55.4106081466,60,8,>10K
201,until,15907,17208900,55.4618741794,60,5,>10K
202,law,15858,17224758,55.5129822921,60,3,>10K
203,few,15843,17240601,55.5640420619,60,3,>10K
204,better,15666,17256267,55.6145313855,60,6,>10K
205,games,15605,17271872,55.6648241147,60,5,>10K
206,district,15453,17287325,55.7146269691,60,8,>10K
207,life,15363,17302688,55.7641397662,60,4,>10K
208,office,15051,17317739,55.8126470309,60,6,>10K
209,found,15018,17332757,55.8610479413,60,5,>10K
210,government,14944,17347701,55.90921036,60,10,>10K
211,children,14917,17362618,55.9572857615,60,8,>10K
212,health,14876,17377494,56.0052290258,60,6,>10K
213,put,14872,17392366,56.0531593986,60,3,>10K
214,came,14847,17407213,56.1010091999,60,4,>10K
215,run,14719,17421932,56.1484464752,60,3,>10K
216,man,14714,17436646,56.1958676361,60,3,>10K
217,board,14676,17451322,56.2431663284,60,5,>10K
218,federal,14667,17465989,56.2904360149,60,7,>10K
219,national,14643,17480632,56.3376283528,60,8,>10K
220,something,14544,17495176,56.3845016276,60,9,>10K
221,top,14503,17509679,56.4312427651,60,3,>10K
222,use,14499,17524178,56.4779710111,60,3,>10K
223,university,14465,17538643,56.52458968,60,10,>10K
224,program,14462,17553105,56.5711986802,60,7,>10K
225,called,14455,17567560,56.6177851205,60,6,>10K
226,days,14424,17581984,56.664271652,60,4,>10K
227,things,14421,17596405,56.710748515,60,6,>10K
228,might,14402,17610807,56.7571641437,60,5,>10K
229,took,14331,17625138,56.8033509493,60,4,>10K
230,students,14307,17639445,56.8494604062,60,8,>10K
231,department,14213,17653658,56.8952669144,60,10,>10K
232,several,14119,17667777,56.9407704737,60,7,>10K
233,coach,14098,17681875,56.9862063529,60,5,>10K
234,friday,13936,17695811,57.0311201288,60,6,>10K
235,case,13843,17709654,57.0757341788,60,4,>10K
236,ohio,13776,17723430,57.1201322971,60,4,>10K
237,without,13735,17737165,57.1643982782,60,7,>10K
238,set,13641,17750806,57.2083613104,60,3,>10K
239,job,13516,17764322,57.2519214852,60,3,>10K
240,times,13515,17777837,57.2954784371,60,5,>10K
241,later,13511,17791348,57.3390224976,60,5,>10K
242,tuesday,13475,17804823,57.3824505351,60,7,>10K
243,used,13433,17818256,57.4257432124,60,4,>10K
244,went,13419,17831675,57.4689907698,60,4,>10K
245,area,13297,17844972,57.5118451382,60,4,>10K
246,look,13137,17858109,57.5541838491,60,4,>10K
247,early,13126,17871235,57.5964871085,60,5,>10K
248,month,13087,17884322,57.6386646763,60,5,>10K
249,community,13058,17897380,57.6807487812,60,9,>10K
250,ago,12988,17910368,57.7226072859,60,3,>10K
251,though,12985,17923353,57.7644561221,60,6,>10K
252,director,12914,17936267,57.8060761352,60,8,>10K
253,six,12854,17949121,57.8475027767,60,3,>10K
254,pay,12834,17961955,57.8888649609,60,3,>10K
255,past,12815,17974770,57.9301659109,60,4,>10K
256,local,12755,17987525,57.9712734893,60,5,>10K
257,park,12704,18000229,58.0122167017,60,4,>10K
258,win,12665,18012894,58.0530342227,60,3,>10K
259,monday,12659,18025553,58.0938324065,60,6,>10K
260,york,12637,18038190,58.1345596874,60,4,>10K
261,bill,12625,18050815,58.175248294,60,4,>10K
262,cleveland,12608,18063423,58.2158821119,60,9,>10K
263,points,12606,18076029,58.2565094841,60,6,>10K
264,third,12580,18088609,58.297053062,60,5,>10K
265,thursday,12568,18101177,58.3375579656,60,8,>10K
266,start,12519,18113696,58.377904949,60,5,>10K
267,open,12462,18126158,58.4180682294,60,4,>10K
268,american,12438,18138596,58.4581541611,60,8,>10K
269,away,12425,18151021,58.4981981957,60,4,>10K
270,doesn,12405,18163426,58.5381777731,60,5,>10K
271,point,12392,18175818,58.5781154533,60,5,>10K
272,plan,12381,18188199,58.618017682,60,4,>10K
273,obama,12375,18200574,58.6579005736,60,5,>10K
274,among,12364,18212938,58.6977480137,60,5,>10K
275,country,12334,18225272,58.7374987681,60,7,>10K
276,keep,12294,18237566,58.777120608,60,4,>10K
277,members,12276,18249842,58.8166844364,60,7,>10K
278,tax,12253,18262095,58.8561741391,60,3,>10K
279,road,12130,18274225,58.89526743,60,4,>10K
280,saturday,12041,18286266,58.9340738864,60,8,>10K
