,word,count,cum_freq,cum_perc,percentile,length,volume
0,the,1852821,1852821,5.3380857354,10,3,>1M
1,and,1084236,2937057,8.46183310518,10,3,>1M
2,to,1065690,4002747,11.5321483636,20,2,>1M
3,a,897374,4900121,14.1175353754,20,1,>100K
4,i,896556,5796677,16.7005656814,20,1,>100K
5,of,874409,6671086,19.2197891843,20,2,>100K
6,in,592759,7263845,20.9275625539,30,2,>100K
7,that,481759,7745604,22.3155384273,30,4,>100K
8,it,481229,8226833,23.7019873398,30,2,>100K
9,is,431773,8658606,24.9459506218,30,2,>100K
10,for,361826,9020432,25.9883925033,30,3,>100K
11,you,325252,9345684,26.9254625503,30,3,>100K
12,with,285182,9630866,27.7470885823,30,4,>100K
13,was,278025,9908891,28.5480948784,30,3,>100K
14,on,273807,10182698,29.3369488697,30,2,>100K
15,my,269494,10452192,30.1133768556,40,2,>100K
16,this,257388,10709580,30.8549267469,40,4,>100K
17,we,256707,10966287,31.5945146374,40,2,>100K
18,as,221677,11187964,32.2331790478,40,2,>100K
19,have,218391,11406355,32.8623763,40,4,>100K
20,be,208032,11614387,33.4617286668,40,2,>100K
21,but,205086,11819473,34.0525934352,40,3,>100K
22,are,193560,12013033,34.6102511231,40,3,>100K
23,s,174551,12187584,35.1131427696,40,1,>100K
24,not,172084,12359668,35.6089268446,40,3,>100K
25,at,170666,12530334,36.1006255786,40,2,>100K
26,so,165410,12695744,36.5771814691,40,2,>100K
27,he,158248,12853992,37.0331032184,40,2,>100K
28,they,151427,13005419,37.4693732675,40,4,>100K
29,from,147473,13152892,37.8942516112,40,4,>100K
30,all,143996,13296888,38.3091125144,40,3,>100K
31,me,138686,13435574,38.7086749969,40,2,>100K
32,or,137658,13573232,39.1052757512,40,2,>100K
33,one,125165,13698397,39.4658834413,40,3,>100K
34,by,122054,13820451,39.8175281584,40,2,>100K
35,can,118375,13938826,40.1585734612,50,3,>100K
36,about,114648,14053474,40.4888810588,50,5,>100K
37,what,114591,14168065,40.8190244361,50,4,>100K
38,will,112495,14280560,41.1431291148,50,4,>100K
39,his,109662,14390222,41.4590717546,50,3,>100K
40,an,109496,14499718,41.7745361388,50,2,>100K
41,out,108438,14608156,42.086952363,50,3,>100K
42,there,107102,14715258,42.395519493,50,5,>100K
43,if,107060,14822318,42.7039656186,50,2,>100K
44,had,106896,14929214,43.0119392506,50,3,>100K
45,up,105963,15035177,43.3172248549,50,2,>100K
46,her,105448,15140625,43.6210267142,50,3,>100K
47,when,103648,15244273,43.9196426681,50,4,>100K
48,just,100040,15344313,44.2078637628,50,4,>100K
49,your,99277,15443590,44.4938866099,50,4,>10K
50,she,98948,15542538,44.7789615887,50,3,>10K
51,like,97554,15640092,45.060020372,50,4,>10K
52,t,97132,15737224,45.3398633485,50,1,>10K
53,has,92978,15830202,45.607738408,50,3,>10K
54,more,91894,15922096,45.8724904,50,4,>10K
55,do,91055,16013151,46.1348251839,50,2,>10K
56,their,89552,16102703,46.3928297368,50,5,>10K
57,some,88295,16190998,46.6472127992,50,4,>10K
58,time,87746,16278744,46.9000141604,50,4,>10K
59,who,86005,16364749,47.1477995988,50,3,>10K
60,our,84741,16449490,47.3919433791,50,3,>10K
61,would,82164,16531654,47.6286626717,50,5,>10K
62,them,79924,16611578,47.8589283932,50,4,>10K
63,been,77834,16689412,48.0831727023,50,4,>10K
64,were,77443,16766855,48.3062905176,50,4,>10K
65,get,70529,16837384,48.5094886942,50,3,>10K
66,which,68408,16905792,48.7065761457,50,5,>10K
67,no,67312,16973104,48.9005059571,50,2,>10K
68,how,65942,17039046,49.0904887183,50,3,>10K
69,into,62722,17101768,49.271194471,50,4,>10K
70,then,61457,17163225,49.4482556847,50,4,>10K
71,people,60498,17223723,49.6225539633,50,6,>10K
72,know,60002,17283725,49.7954232369,50,4,>10K
73,now,59383,17343108,49.9665091352,50,3,>10K
74,because,57223,17400331,50.1313719471,60,7,>10K
75,don,56074,17456405,50.2929244228,60,3,>10K
76,other,55888,17512293,50.4539410216,60,5,>10K
77,also,54817,17567110,50.6118720067,60,4,>10K
78,new,53911,17621021,50.7671927528,60,3,>10K
79,only,52047,17673068,50.9171432058,60,4,>10K
80,even,51295,17724363,51.0649271027,60,4,>10K
81,make,50775,17775138,51.2112128493,60,4,>10K
82,over,50717,17825855,51.3573314944,60,4,>10K
83,first,50598,17876453,51.5031072936,60,5,>10K
84,day,50461,17926914,51.6484883878,60,3,>10K
85,back,50257,17977171,51.7932817461,60,4,>10K
86,than,50256,18027427,51.9380722232,60,4,>10K
87,us,49653,18077080,52.0811254221,60,2,>10K
88,really,49623,18126703,52.2240921893,60,6,>10K
89,him,49446,18176149,52.366549009,60,3,>10K
90,much,48637,18224786,52.5066750525,60,4,>10K
91,see,48560,18273346,52.6465792544,60,3,>10K
92,am,48458,18321804,52.7861895883,60,2,>10K
93,good,48180,18369984,52.924998988,60,4,>10K
94,very,47922,18417906,53.0630650746,60,4,>10K
95,here,47898,18465804,53.2010620158,60,4,>10K
96,well,47737,18513541,53.3385951066,60,4,>10K
97,these,47729,18561270,53.4761051488,60,5,>10K
98,think,47229,18608499,53.6121746619,60,5,>10K
99,way,46724,18655223,53.7467892403,60,3,>10K
100,after,46026,18701249,53.87939284,60,5,>10K
101,little,45372,18746621,54.0101122273,60,6,>10K
102,could,45010,18791631,54.1397886715,60,5,>10K
103,love,44447,18836078,54.2678430797,60,4,>10K
104,go,42608,18878686,54.3905992213,60,2,>10K
105,any,41128,18919814,54.5090913963,60,3,>10K
106,two,40456,18960270,54.6256474999,60,3,>10K
107,life,40097,19000367,54.7411693035,60,4,>10K
108,many,39766,19040133,54.8557374768,60,4,>10K
109,going,39403,19079536,54.9692598258,60,5,>10K
110,most,39360,19118896,55.0826582893,60,4,>10K
111,did,38716,19157612,55.1942013511,60,3,>10K
112,being,38542,19196154,55.3052431088,60,5,>10K
113,where,38398,19234552,55.415869994,60,5,>10K
114,things,38302,19272854,55.5262202975,60,6,>10K
115,still,37677,19310531,55.6347699396,60,5,>10K
116,want,37436,19347967,55.7426252465,60,4,>10K
117,those,37427,19385394,55.8504546238,60,5,>10K
118,too,36857,19422251,55.9566417978,60,3,>10K
119,work,36723,19458974,56.06244291,60,4,>10K
120,before,36549,19495523,56.167742718,60,6,>10K
121,said,36541,19532064,56.2730194775,60,4,>10K
122,made,36417,19568481,56.3779389858,60,4,>10K
123,last,35656,19604137,56.4806660085,60,4,>10K
124,through,35002,19639139,56.581508819,60,7,>10K
125,while,34766,19673905,56.6816716996,60,5,>10K
126,down,34196,19708101,56.7801923769,60,4,>10K
127,something,34010,19742111,56.8781771773,60,9,>10K
128,right,33724,19775835,56.975337995,60,5,>10K
129,m,33599,19809434,57.0721386803,60,1,>10K
130,year,33593,19843027,57.1689220793,60,4,>10K
131,its,33494,19876521,57.2654202535,60,3,>10K
132,off,33367,19909888,57.3615525333,60,3,>10K
133,take,32995,19942883,57.4566130593,60,4,>10K
134,years,32672,19975555,57.5507430034,60,5,>10K
135,around,32395,20007950,57.6440748943,60,6,>10K
136,may,32024,20039974,57.7363379124,60,3,>10K
137,few,31668,20071642,57.8275752738,60,3,>10K
138,got,31455,20103097,57.9181989696,60,3,>10K
139,never,31119,20134216,58.0078546299,60,5,>10K
140,say,30882,20165098,58.0968274792,60,3,>10K
141,point,30870,20195968,58.1857657558,60,5,>10K
142,great,30736,20226704,58.2743179706,60,5,>10K
143,world,29663,20256367,58.3597788096,60,5,>10K
144,need,29580,20285947,58.4450005208,60,4,>10K
145,should,27936,20313883,58.5254857717,60,6,>10K
146,every,27850,20341733,58.6057232516,60,5,>10K
147,own,27694,20369427,58.6855112863,60,3,>10K
148,another,27580,20397007,58.7649708804,60,7,>10K
149,book,27347,20424354,58.8437591879,60,4,>10K
150,didn,27305,20451659,58.9224264909,60,4,>10K
151,home,26911,20478570,58.9999586568,60,4,>10K
152,week,26733,20505303,59.0769779943,60,4,>10K
153,always,26504,20531807,59.1533375694,60,6,>10K
154,find,25938,20557745,59.2280664654,60,4,>10K
155,again,25829,20583574,59.3024813261,60,5,>10K
156,look,25818,20609392,59.376864495,60,4,>10K
157,why,25688,20635080,59.4508731264,60,3,>10K
158,long,25490,20660570,59.5243113082,60,4,>10K
159,each,25449,20686019,59.5976313665,60,4,>10K
160,come,25384,20711403,59.6707641561,60,4,>10K
161,today,24971,20736374,59.7427070685,60,5,>10K
162,god,24838,20761212,59.8142668001,60,3,>10K
163,next,24795,20786007,59.8857026462,60,4,>10K
164,feel,24252,20810259,59.9555740776,60,4,>10K
165,use,24249,20834508,60.0254368657,70,3,>10K
166,such,24206,20858714,60.0951757683,70,4,>10K
167,since,24010,20882724,60.1643499835,70,5,>10K
168,let,23960,20906684,60.2333801457,70,3,>10K
169,thing,23640,20930324,60.3014883692,70,5,>10K
170,same,23613,20953937,60.3695188042,70,4,>10K
171,used,23027,20976964,60.4358609388,70,4,>10K
172,place,22734,20999698,60.5013589233,70,5,>10K
173,best,22332,21022030,60.5656987222,70,4,>10K
174,sure,22244,21044274,60.629784988,70,4,>10K
175,ve,21837,21066111,60.692698663,70,2,>10K
176,until,21780,21087891,60.7554481177,70,5,>10K
177,lot,21453,21109344,60.8172554662,70,3,>10K
178,thought,21120,21130464,60.8781034222,70,7,>10K
179,put,21103,21151567,60.9389024003,70,3,>10K
180,part,20969,21172536,60.9993153164,70,4,>10K
181,old,20764,21193300,61.0591376156,70,3,>10K
182,both,20572,21213872,61.1184067516,70,4,>10K
183,read,20560,21234432,61.1776413148,70,4,>10K
184,though,20508,21254940,61.236726063,70,6,>10K
185,away,20487,21275427,61.295750309,70,4,>10K
186,better,20397,21295824,61.3545152597,70,6,>10K
187,does,20146,21315970,61.4125570648,70,4,>10K
188,family,19944,21335914,61.470016896,70,6,>10K
189,days,19757,21355671,61.5269379692,70,4,>10K
190,went,19709,21375380,61.5837207517,70,4,>10K
191,end,19479,21394859,61.6398408907,70,3,>10K
